F	W1	W2
180080.3929	-0.000693395	-0.009773077
180440.9791	-0.0007099	-0.00979193
180797.1664	-0.000726477	-0.009810759
181148.9219	-0.000743127	-0.009829562
181496.219	-0.00075985	-0.009848341
181839.0253	-0.000776645	-0.009867095
182177.3122	-0.000793513	-0.009885824
182511.0507	-0.000810452	-0.009904528
182840.208	-0.000827463	-0.009923207
183164.757	-0.000844545	-0.009941861
183484.6674	-0.000861699	-0.009960488
183799.9071	-0.000878924	-0.009979091
184110.4468	-0.00089622	-0.009997668
184416.2542	-0.000913586	-0.01001622
184717.3017	-0.000931023	-0.010034745
185013.5558	-0.00094853	-0.010053245
185304.9882	-0.000966107	-0.010071719
185591.5657	-0.000983754	-0.010090169
185873.2603	-0.00100147	-0.010108588
186150.0378	-0.001019256	-0.010126977
186421.8673	-0.001037112	-0.010145346
186688.7178	-0.001055036	-0.010163689
186950.5589	-0.001073029	-0.010182004
187207.357	-0.001091091	-0.010200292
187459.0821	-0.001109222	-0.010218553
187705.7005	-0.001127421	-0.010236787
187947.1813	-0.001145688	-0.010254994
188183.4898	-0.001164023	-0.010273173
188414.5994	-0.001182426	-0.010291325
188640.4694	-0.001200896	-0.010309449
188861.0748	-0.001219434	-0.010327545
189076.3768	-0.001238039	-0.010345614
189286.3452	-0.001256712	-0.010363654
189490.9454	-0.001275451	-0.010381666
189690.1443	-0.001294258	-0.01039965
189883.9101	-0.001313131	-0.010417605
190072.2046	-0.00133207	-0.010435532
190254.9984	-0.001351076	-0.01045343
190432.2539	-0.001370149	-0.010471299
190603.9372	-0.001389287	-0.010489139
190770.0128	-0.001408491	-0.010506949
190930.4489	-0.001427761	-0.01052473
191085.2061	-0.001447097	-0.010542481
191234.2541	-0.001466498	-0.010560203
191377.5517	-0.001485965	-0.010577895
191515.0633	-0.001505497	-0.010595557
191646.7572	-0.001525094	-0.010613189
191772.592	-0.001544757	-0.010630789
191892.5333	-0.001564484	-0.01064836
192006.5419	-0.001584276	-0.010665899
192114.5831	-0.001604132	-0.010683408
192216.6144	-0.001624053	-0.010700885
192312.6027	-0.001644039	-0.010718331
192402.5088	-0.001664089	-0.010735746
192486.2913	-0.001684203	-0.010753128
192563.9117	-0.001704381	-0.010770479
192635.3288	-0.001724623	-0.010787797
192700.5051	-0.001744929	-0.010805083
192759.4013	-0.001765299	-0.010822337
192811.9715	-0.001785732	-0.010839558
192858.1788	-0.001806229	-0.010856746
192897.9781	-0.00182679	-0.0108739
192931.3307	-0.001847414	-0.010891021
192958.1906	-0.001868101	-0.010908108
192978.5162	-0.001888852	-0.010925162
192992.2614	-0.001909666	-0.010942181
192999.385	-0.001930542	-0.010959166
192999.839	-0.001951482	-0.010976116
192993.5805	-0.001972485	-0.010993032
192980.5617	-0.001993551	-0.011009912
192960.8689	-0.002014679	-0.011026757
192934.0538	-0.00203587	-0.011043566
192900.4699	-0.002057124	-0.011060339
192860.0707	-0.00207844	-0.011077076
192812.5322	-0.002099819	-0.011093776
192757.9436	-0.00212126	-0.01111044
192696.2503	-0.002142764	-0.011127067
192627.4021	-0.00216433	-0.011143656
192551.344	-0.002185959	-0.011160207
192468.0226	-0.002207649	-0.011176721
192377.385	-0.002229403	-0.011193197
192279.3738	-0.002251218	-0.011209633
192173.931	-0.002273095	-0.011226031
192060.9978	-0.002295034	-0.011242389
191940.5166	-0.002317036	-0.011258708
191812.4272	-0.0023391	-0.011274987
191676.668	-0.002361226	-0.011291225
191533.1733	-0.002383413	-0.011307424
191381.8807	-0.002405663	-0.011323581
191222.7233	-0.002427975	-0.011339696
191055.6354	-0.00245035	-0.011355769
190880.5465	-0.002472785	-0.0113718
190697.3854	-0.002495283	-0.011387789
190506.0809	-0.002517843	-0.011403734
190306.5579	-0.002540465	-0.011419636
190098.7417	-0.00256315	-0.011435495
189882.5523	-0.002585896	-0.011451308
189657.9104	-0.002608704	-0.011467077
189424.7348	-0.002631575	-0.0114828
189182.9377	-0.002654508	-0.011498477
188932.4327	-0.002677502	-0.011514108
188673.1312	-0.002700559	-0.011529692
188404.9374	-0.002723679	-0.011545229
188127.7595	-0.002746861	-0.011560717
187841.4964	-0.002770105	-0.011576157
187546.0456	-0.002793411	-0.011591548
187241.3033	-0.002816781	-0.011606889
186927.1578	-0.002840213	-0.011622179
186603.4979	-0.002863707	-0.011637418
186270.2058	-0.002887265	-0.011652606
185927.1599	-0.002910885	-0.011667741
185574.2322	-0.002934569	-0.011682822
185211.2937	-0.002958315	-0.01169785
184838.2069	-0.002982125	-0.011712823
184454.8283	-0.003005999	-0.01172774
184061.0087	-0.003029936	-0.011742601
183656.5951	-0.003053936	-0.011757404
183241.4242	-0.003078	-0.011772149
182815.3265	-0.003102129	-0.011786835
182378.1233	-0.003126322	-0.01180146
181929.6275	-0.003150579	-0.011816024
181469.6431	-0.0031749	-0.011830525
180997.9663	-0.003199287	-0.011844963
180514.3766	-0.003223738	-0.011859336
180018.6464	-0.003248255	-0.011873643
179510.532	-0.003272837	-0.011887882
178989.7772	-0.003297486	-0.011902052
178456.1086	-0.0033222	-0.011916151
177909.2391	-0.003346981	-0.011930178
177348.8597	-0.003371828	-0.011944131
176774.6405	-0.003396742	-0.011958009
176186.2312	-0.003421724	-0.011971808
175583.2549	-0.003446773	-0.011985527
174965.3081	-0.00347189	-0.011999165
174331.9516	-0.003497076	-0.012012717
173682.722	-0.00352233	-0.012026182
173017.1039	-0.003547654	-0.012039557
172334.5458	-0.003573047	-0.012052839
171634.4466	-0.003598511	-0.012066025
170916.1446	-0.003624045	-0.012079109
170178.9152	-0.003649649	-0.012092089
169421.9584	-0.003675326	-0.01210496
168644.391	-0.003701074	-0.012117717
167845.2263	-0.003726894	-0.012130354
167023.3639	-0.003752786	-0.012142865
166177.5603	-0.003778751	-0.012155242
165306.4062	-0.003804789	-0.012167478
164408.2946	-0.0038309	-0.012179563
163481.3765	-0.003857083	-0.012191486
162523.5008	-0.003883338	-0.012203234
